unsat_SMILE,sat_SMILE,delta_H,nH2,pH2
CC1=CCCC1,CC1CCCC1,96.7523005,1,2.4
CC1=CCOC1,CC1CCOC1,103.959298,1,2.34
CC1CC=CC1,CC1CCCC1,105.8312795,1,2.4
OC1CC=CC1,OC1CCCC1,105.718383,1,2.34
CC1CCC=C1,CC1CCCC1,105.608112,1,2.4
OC1CCC=C1,OC1CCCC1,108.4620305,1,2.34
C#CC#CC#C,CCCCCC,137.5884523,6,14.04
C#CCCC#C,CCCCCC,141.7336792,4,9.36
O=CC#CC=O,OCCCCO,110.9766031,4,8.95
O=CCCC=O,OCCCCO,68.4809165,2,4.48
CC#CC#CC,CCCCCC,130.4945701,4,9.36
CC#CCC=O,CCCCCO,111.7544075,3,6.86
CCC#CC#C,CCCCCC,136.0658811,4,9.36
CCC#CC=O,CCCCCO,115.6821555,3,6.86
OCC#CC=O,OCCCCO,121.9054657,3,6.71
CCC#CCC,CCCCCC,134.4019705,2,4.68
CCC#CCO,CCCCCO,141.8938347,2,4.58
OCC#CCO,OCCCCO,150.0223828,2,4.48
CC#CCCO,CCCCCO,132.7150867,2,4.58
CCCC#CC,CCCCCC,132.9264395,2,4.68
CCCCC#C,CCCCCC,140.973597,2,4.68
CCCCC=O,CCCCCO,65.1045235,1,2.29
CCOCC=O,CCOCCO,79.5290205,1,2.24
COCCC=O,COCCCO,66.4750345,1,2.24
OCCCC=O,OCCCCO,66.6325645,1,2.24
C#CC1CCC1,CCC1CCC1,141.6522888,2,4.79
C#CC1CCO1,CCC1CCO1,151.1093398,2,4.68
C#CC1COC1,CCC1COC1,143.6607963,2,4.68
O=CC1CCC1,OCC1CCC1,65.695261,1,2.34
O=CC1CCO1,OCC1CCO1,81.826333,1,2.29
O=CC1COC1,OCC1COC1,71.4372295,1,2.29
C#CCC1CC1,CCCC1CC1,142.4084328,2,4.79
C#CCC1CO1,CCCC1CO1,144.896094,2,4.68
C#CCN1CC1,CCCN1CC1,145.993553,2,4.74
O=CCC1CC1,OCCC1CC1,66.488162,1,2.34
O=CCC1CO1,OCCC1CO1,69.9984555,1,2.29
O=CCN1CC1,OCCN1CC1,79.6812995,1,2.32
CC#CC1CC1,CCCC1CC1,133.5946292,2,4.79
CC#CC1CO1,CCCC1CO1,140.1820087,2,4.68
CC1CC1C=O,CC1CC1CO,52.966837,1,2.34
CC1NC1C=O,CC1NC1CO,68.2603745,1,2.32
CC1OC1C=O,CC1OC1CO,77.7489315,1,2.29
CN1CC1C=O,CN1CC1CO,57.419685,1,2.32
CC(=O)C1CC1,CC(O)C1CC1,40.0730065,1,2.34
CC(=O)C1CN1,CC(O)C1CN1,43.788089,1,2.32
CC(=O)C1CO1,CC(O)C1CO1,62.5577885,1,2.29
C1C2CC1C=C2,C1C2CC1CC2,163.9913555,1,2.46
C1CCC=CC1,C1CCCCC1,112.0747185,1,2.4
C1C2CC=CC12,C1C2CCCC12,111.851551,1,2.46
O=C1CC2CC12,OC1CC2CC12,42.779897,1,2.4
O=C1CC2NC12,OC1CC2NC12,67.2259275,1,2.37
O=C1CC2OC12,OC1CC2OC12,69.848802,1,2.34
O=C1CN2CC12,OC1CN2CC12,48.4168455,1,2.37
CC1=CC(O)=CO1,CC1CC(O)CO1,73.3275895,2,3.95
CC1=CC=C(C)O1,CC1CCC(C)O1,66.83078975,2,4.03
O=C1C=COC=C1,OC1CCOCC1,70.91825567,3,5.92
CC1=CC=CC=C1,CC1CCCCC1,62.39675783,3,6.16
OC1=CC=CC=C1,OC1CCCCC1,60.87046717,3,6.04
CC1=COC=C1C,CC1COCC1C,61.399943,2,4.03
C#CC1=CC=CO1,CCC1CCCO1,106.5769215,4,8.06
O=CC1=CC=CO1,OCC1CCCO1,69.7726625,3,5.92
CCC1=CC=CO1,CCC1CCCO1,67.75496575,2,4.03
COC1=CC=CO1,COC1CCCO1,86.54829475,2,3.95
OCC1=CC=CO1,OCC1CCCO1,75.099802,2,3.95
CC#CC(C)(C)C,CCCC(C)(C)C,132.4656643,2,4.03
CC(C)(C)CC=O,CC(C)(C)CCO,62.985745,1,1.97
CC(C)(O)CC=O,CC(C)(O)CCO,63.2089125,1,1.94
CC(=O)C(C)(C)C,CC(O)C(C)(C)C,52.19494,1,1.97
CC(=O)C(C)(C)O,CC(O)C(C)(C)O,54.7705555,1,1.94
CC(=O)CC(C)=O,CC(O)CC(C)O,55.8050025,2,3.87
CC(C)CC(C)=O,CC(C)CC(C)O,50.9320745,1,1.97
CC(O)CC(C)=O,CC(O)CC(C)O,60.323488,1,1.94
CC1(C)CC(=O)C1,CC1(C)CC(O)C1,49.93701,1,2.01
CC1(O)CC(=O)C1,CC1(O)CC(O)C1,51.449298,1,1.97
CC(C)(C=O)C=O,CC(C)(CO)CO,68.46385075,2,3.87
CC(O)(C=O)C=O,CC(O)(CO)CO,73.508749,2,3.8
CCC(C)(C)C#C,CCC(C)(C)CC,140.3080328,2,4.03
CCC(C)(O)C#C,CCC(C)(O)CC,145.8583398,2,3.95
CC(C)(CO)C=O,CC(C)(CO)CO,66.010321,1,1.94
CC(O)(CO)C=O,CC(O)(CO)CO,77.8959595,1,1.9
CCC(C)(C)C=O,CCC(C)(C)CO,64.991627,1,1.97
CCC(C)(O)C=O,CCC(C)(O)CO,79.08006,1,1.94
COC(C)(C)C=O,COC(C)(C)CO,71.313831,1,1.94
CC#CCC(C)C,CCCCC(C)C,131.2776255,2,4.03
CC#CCC(C)O,CCCCC(C)O,131.8670503,2,3.95
CC(=O)C#CC=O,CC(O)CCCO,106.5985819,4,7.75
CC(=O)CCC=O,CC(O)CCCO,59.6067265,2,3.87
CC(C)C#CC=O,CC(C)CCCO,115.726789,3,5.92
CC(O)C#CC=O,CC(O)CCCO,121.0215473,3,5.81
CC(C)CCC=O,CC(C)CCCO,65.26993,1,1.97
CC(C)OCC=O,CC(C)OCCO,80.1223835,1,1.94
CC(O)CCC=O,CC(O)CCCO,65.947309,1,1.94
CC(=O)C#CCO,CC(O)CCCO,117.7991837,3,5.81
CCC#CC(C)=O,CCCCC(C)O,110.6324438,3,5.92
CC(C)C#CCO,CC(C)CCCO,142.0067313,2,3.95
CC(O)C#CCO,CC(O)CCCO,145.1245125,2,3.87
CCC#CC(C)C,CCCCC(C)C,134.32058,2,4.03
CCC#CC(C)O,CCCCC(C)O,139.2854005,2,3.95
CC(=O)CCCO,CC(O)CCCO,53.4630565,1,1.94
CCCCC(C)=O,CCCCC(C)O,50.35709,1,1.97
CCOCC(C)=O,CCOCC(C)O,73.335466,1,1.94
COCCC(C)=O,COCCC(C)O,50.5540025,1,1.94
CC1(C)CCC1=O,CC1(C)CCC1O,50.7115325,1,2.01
CC1(C)OCC1=O,CC1(C)OCC1O,56.516513,1,1.97
CC1(O)CCC1=O,CC1(O)CCC1O,59.903408,1,1.97
CC1(C)CC1C=O,CC1(C)CC1CO,52.2553265,1,2.01
CC1(C)NC1C=O,CC1(C)NC1CO,67.643382,1,1.99
CC1(C)OC1C=O,CC1(C)OC1CO,77.415493,1,1.97
CC1(O)CC1C=O,CC1(O)CC1CO,56.5979035,1,1.97
CC1(C)CC=CC1,CC1(C)CCCC1,104.6603065,1,2.05
CC1(O)CC=CC1,CC1(O)CCCC1,109.829916,1,2.01
CC1(C)CCC=C1,CC1(C)CCCC1,105.6527455,1,2.05
CC1(O)CCC=C1,CC1(O)CCCC1,111.4813555,1,2.01
CC#CC(=O)C=O,CCCC(O)CO,110.3858656,4,7.75
CC#CC(C)C#C,CCCC(C)CC,140.1931671,4,8.05
CC#CC(O)C#C,CCCC(O)CC,146.0874146,4,7.9
CC#CC(C)C=O,CCCC(C)CO,112.019583,3,5.92
CC#CC(O)C=O,CCCC(O)CO,117.1200543,3,5.81
CCC(=O)CC=O,CCC(O)CCO,60.51121125,2,3.87
CC#CC(C)CO,CCCC(C)CO,132.7150867,2,3.95
CC#CC(O)CO,CCCC(O)CO,137.3937278,2,3.87
CC(CO)CC=O,CC(CO)CCO,63.101267,1,1.94
CCC(C)CC=O,CCC(C)CCO,61.2922975,1,1.97
CCC(O)CC=O,CCC(O)CCO,68.6226935,1,1.94
COC(C)CC=O,COC(C)CCO,65.9499345,1,1.94
CCCC(=O)C#C,CCCC(O)CC,117.7781797,3,5.92
CCCC(=O)C=O,CCCC(O)CO,71.282325,2,3.87
COCC(=O)C=O,COCC(O)CO,84.26410975,2,3.8
OCCC(=O)C=O,OCCC(O)CO,81.49552,2,3.8
CCC(=O)CCO,CCC(O)CCO,49.5090535,1,1.94
CCC(=O)COC,CCC(O)COC,66.944999,1,1.94
CCCC(=O)CC,CCCC(O)CC,49.501177,1,1.97
CCCC(=O)CO,CCCC(O)CO,74.212383,1,1.94
COCC(=O)CO,COCC(O)CO,101.522834,1,1.9
OCCC(=O)CO,OCCC(O)CO,73.640024,1,1.9
CCCC(C)C#C,CCCC(C)CC,140.921087,2,4.03
CCCC(O)C#C,CCCC(O)CC,147.4297015,2,3.95
CCOC(C)C#C,CCOC(C)CC,151.2931248,2,3.95
CCCC(C)C=O,CCCC(C)CO,67.485852,1,1.97
CCCC(O)C=O,CCCC(O)CO,65.1727865,1,1.94
CCOC(C)C=O,CCOC(C)CO,77.184449,1,1.94
COCC(C)C=O,COCC(C)CO,63.5134705,1,1.94
COCC(O)C=O,COCC(O)CO,74.8766345,1,1.9
OCCC(O)C=O,OCCC(O)CO,65.6033685,1,1.9
CC(=O)C(=O)C=O,CC(O)C(O)CO,79.69792767,3,5.7
CC(C)C(=O)C=O,CC(C)C(O)CO,71.11823125,2,3.87
CC(O)C(=O)C=O,CC(O)C(O)CO,75.18250525,2,3.8
CC(C)C(C)C=O,CC(C)C(C)CO,60.3313645,1,1.97
CC(C)C(O)C=O,CC(C)C(O)CO,66.719206,1,1.94
CC(O)C(C)C=O,CC(O)C(C)CO,63.2246655,1,1.94
CC(O)C(O)C=O,CC(O)C(O)CO,68.646323,1,1.9
CC(=O)C(O)C=O,CC(O)C(O)CO,71.17861775,2,3.8
CC(=O)C(=O)CO,CC(O)C(O)CO,64.52560075,2,3.8
CCC(=O)C(C)=O,CCC(O)C(C)O,62.88466325,2,3.87
CC(C)C(=O)CO,CC(C)C(O)CO,49.327894,1,1.94
CC(O)C(=O)CO,CC(O)C(O)CO,54.836193,1,1.9
CCC(=O)C(C)C,CCC(O)C(C)C,48.5848775,1,1.97
CCC(=O)C(C)O,CCC(O)C(C)O,52.095171,1,1.94
CC(=O)C(O)CO,CC(O)C(O)CO,50.1864325,1,1.9
CCC(C)C(C)=O,CCC(C)C(C)O,50.6905285,1,1.97
CCC(O)C(C)=O,CCC(O)C(C)O,51.0948555,1,1.94
COC(C)C(C)=O,COC(C)C(C)O,57.782004,1,1.94
CC#CC1(C)CO1,CCCC1(C)CO1,139.3628528,2,4.03
CC#CC1(O)CC1,CCCC1(O)CC1,138.2719575,2,4.03
CC1(CC=O)CC1,CC1(CCO)CC1,63.8810405,1,2.01
CC1(CC=O)CO1,CC1(CCO)CO1,65.5928665,1,1.97
CC1CC1(C)C=O,CC1CC1(C)CO,54.279587,1,2.01
CC1CC1(O)C=O,CC1CC1(O)CO,61.5600985,1,1.97
CC1NC1(C)C=O,CC1NC1(C)CO,54.368854,1,1.99
CC1OC1(C)C=O,CC1OC1(C)CO,70.0667185,1,1.97
CN1CC1(C)C=O,CN1CC1(C)CO,66.05758,1,1.99
CC(=O)C1(C)CC1,CC(O)C1(C)CC1,45.7808435,1,2.01
CC(=O)C1(C)CN1,CC(O)C1(C)CN1,46.135286,1,1.99
CC(=O)C1(C)CO1,CC(O)C1(C)CO1,60.59654,1,1.97
CC(=O)C1(O)CC1,CC(O)C1(O)CC1,52.236948,1,1.97
O=C1CCC(=O)C1,OC1CCC(O)C1,51.46898925,2,3.95
CC1=CCC(=O)C1,CC1CCC(O)C1,70.78216725,2,4.03
CC1=CCC(O)C1,CC1CCC(O)C1,94.7149125,1,2.01
CC1CC=C(C)C1,CC1CCC(C)C1,97.343038,1,2.05
CC1CC(=O)CO1,CC1CC(O)CO1,55.9520305,1,1.97
CC1CCC(=O)C1,CC1CCC(O)C1,39.534779,1,2.01
OC1CCC(=O)C1,OC1CCC(O)C1,44.0900215,1,1.97
CC1CCC(C)=C1,CC1CCC(C)C1,97.111994,1,2.05
CC12CC(=O)C1N2,CC12CC(O)C1N2,52.9852155,1,2.03
CC12CC(=O)C1O2,CC12CC(O)C1O2,69.7674115,1,2.01
CC12CC1C(=O)C2,CC12CC1C(O)C2,42.3939485,1,2.06
CC12CC(C1)C=C2,CC12CC(C1)CC2,165.711058,1,2.1
OC12CC(C1)C=C2,OC12CC(C1)CC2,166.9529195,1,2.06
O=CC1CC(=O)C1,OCC1CC(O)C1,59.81020275,2,3.95
CCC1CC(=O)C1,CCC1CC(O)C1,50.267823,1,2.01
COC1CC(=O)C1,COC1CC(O)C1,49.191368,1,1.97
OCC1CC(=O)C1,OCC1CC(O)C1,50.099791,1,1.97
CC(=O)CC1CC1,CC(O)CC1CC1,53.7308575,1,2.01
CC(=O)CC1CO1,CC(O)CC1CO1,59.955918,1,1.97
CC(=O)CN1CC1,CC(O)CN1CC1,53.922519,1,1.99
C#CC12CC(C1)C2,CCC12CC(C1)C2,143.7224955,2,4.2
C#CC12CC(C1)O2,CCC12CC(C1)O2,152.6478827,2,4.11
C#CC12CN(C1)C2,CCC12CN(C1)C2,144.5364005,2,4.15
O=CC12CC(C1)C2,OCC12CC(C1)C2,70.526181,1,2.06
O=CC12CC(C1)O2,OCC12CC(C1)O2,86.153157,1,2.01
O=CC12CN(C1)C2,OCC12CN(C1)C2,75.8113125,1,2.03
O=C1CC2(CC2)C1,OC1CC2(CC2)C1,52.1765615,1,2.06
O=C1CC2(CN2)C1,OC1CC2(CN2)C1,55.5109465,1,2.03
O=C1CC2(CO2)C1,OC1CC2(CO2)C1,57.4590675,1,2.01
O=C1CCC=CC1,OC1CCCCC1,85.43508275,2,4.03
O=C1CCCC=C1,OC1CCCCC1,79.542148,2,4.03
O=C1CCCCC1,OC1CCCCC1,58.4042475,1,2.01
O=C1CCCOC1,OC1CCCOC1,68.0660875,1,1.97
O=C1CCOCC1,OC1CCOCC1,59.934914,1,1.97
O=C1COCOC1,OC1COCOC1,75.5435115,1,1.94
CC1=CCCCC1,CC1CCCCC1,107.1204,1,2.05
CC1=CCCOC1,CC1CCCOC1,110.3523905,1,2.01
CC1=CCOCC1,CC1CCOCC1,110.906371,1,2.01
CC1CC=CCO1,CC1CCCCO1,116.2545145,1,2.01
CC1CCC=CC1,CC1CCCCC1,111.9959535,1,2.05
OC1CCC=CC1,OC1CCCCC1,113.148548,1,2.01
CC1CCCC=C1,CC1CCCCC1,114.1908715,1,2.05
OC1CCCC=C1,OC1CCCCC1,117.1419335,1,2.01
O=C1CC=CC1=O,OC1CCCC1O,78.8201355,3,5.92
O=C1CCCC1=O,OC1CCCC1O,69.54818225,2,3.95
O=C1COCC1=O,OC1COCC1O,80.53852525,2,3.87
CC1=CCCC1=O,CC1CCCC1O,64.2748655,2,4.03
CC1C=CCC1=O,CC1CCCC1O,78.61140825,2,4.03
OC1C=CCC1=O,OC1CCCC1O,84.08032475,2,3.95
CC1CC=CC1=O,CC1CCCC1O,70.935759,2,4.03
OC1CC=CC1=O,OC1CCCC1O,74.663969,2,3.95
CC1C=CCC1O,CC1CCCC1O,108.9766285,1,2.01
CC1CC=CC1C,CC1CCCC1C,103.54972,1,2.05
CC1CC=CC1O,CC1CCCC1O,109.766904,1,2.01
OC1CC=CC1O,OC1CCCC1O,108.5512975,1,1.97
CC1=CCCC1O,CC1CCCC1O,99.280657,1,2.01
CC1CCC=C1C,CC1CCCC1C,90.642762,1,2.05
CC1CCCC1=O,CC1CCCC1O,44.586241,1,2.01
CC1COCC1=O,CC1COCC1O,53.7361085,1,1.97
CC1OCCC1=O,CC1OCCC1O,55.9572815,1,1.97
OC1CCCC1=O,OC1CCCC1O,48.640013,1,1.97
OC1COCC1=O,OC1COCC1O,61.2870465,1,1.94
CC1C(O)CC1=O,CC1C(O)CC1O,49.0837225,1,1.97
CC1CC(=O)C1C,CC1CC(O)C1C,47.075215,1,2.01
CC1CC(=O)C1O,CC1CC(O)C1O,57.188641,1,1.97
OC1CC(=O)C1O,OC1CC(O)C1O,65.5561095,1,1.94
CC1CC(C)C1=O,CC1CC(C)C1O,40.070381,1,2.01
CC1CC(O)C1=O,CC1CC(O)C1O,57.7846295,1,1.97
CC1OC(C)C1=O,CC1OC(C)C1O,55.9257755,1,1.97
OC1CC(O)C1=O,OC1CC(O)C1O,71.014524,1,1.94
CC12CC1C=CC2,CC12CC1CCC2,112.408157,1,2.1
CC12CC=CC1O2,CC12CCCC1O2,125.3860035,1,2.06
OC12CC1C=CC2,OC12CC1CCC2,114.6897165,1,2.06
CC12CC1CC=C2,CC12CC1CCC2,113.0724085,1,2.1
OC12CC1CC=C2,OC12CC1CCC2,116.1022355,1,2.06
CC12CC1CC2=O,CC12CC1CC2O,41.992247,1,2.06
CC12CN1CC2=O,CC12CN1CC2O,47.1618565,1,2.03
CC12NC1CC2=O,CC12NC1CC2O,66.5275445,1,2.03
CC12OC1CC2=O,CC12OC1CC2O,68.620068,1,2.01
C#CCC1CCC1,CCCC1CCC1,141.1114357,2,4.11
C#CCC1CCO1,CCCC1CCO1,144.3001055,2,4.03
C#CCC1COC1,CCCC1COC1,141.7691235,2,4.03
O=CCC1CCC1,OCCC1CCC1,65.0625155,1,2.01
O=CCC1CCO1,OCCC1CCO1,69.4155945,1,1.97
O=CCC1COC1,OCCC1COC1,69.9406945,1,1.97
CC#CC1CCC1,CCCC1CCC1,133.5040495,2,4.11
CC#CC1CCO1,CCCC1CCO1,141.2479617,2,4.03
CC#CC1COC1,CCCC1COC1,134.7078413,2,4.03
CC#CC1CC1C,CCCC1CC1C,130.440091,2,4.11
CC#CC1CC1O,CCCC1CC1O,131.3025678,2,4.03
CC#CC1CN1C,CCCC1CN1C,131.6071258,2,4.07
CC#CC1OC1C,CCCC1OC1C,136.7596695,2,4.03
CC1CC1CC=O,CC1CC1CCO,65.842289,1,2.01
CC1CN1CC=O,CC1CN1CCO,75.0893,1,1.99
CC1NC1CC=O,CC1NC1CCO,66.0129465,1,1.99
CC1OC1CC=O,CC1OC1CCO,69.391965,1,1.97
CN1CC1CC=O,CN1CC1CCO,67.31782,1,1.99
CC(=O)C1CCC1,CC(O)C1CCC1,54.2822125,1,2.01
CC(=O)C1CCO1,CC(O)C1CCO1,70.300388,1,1.97
CC(=O)C1COC1,CC(O)C1COC1,59.835145,1,1.97
CC(=O)C1CC1O,CC(O)C1CC1O,22.5793,1,1.97
CC1C2CC1C2=O,CC1C2CC1C2O,55.403301,1,2.06
CC1C2OC1C2=O,CC1C2OC1C2O,74.7033515,1,2.01
CN1C2CC1C2=O,CN1C2CC1C2O,25.924187,1,2.03
OC1C2CC1C2=O,OC1C2CC1C2O,63.757642,1,2.01
OC1C2NC1C2=O,OC1C2NC1C2O,71.371592,1,1.99
OC1C2OC1C2=O,OC1C2OC1C2O,86.1452805,1,1.98
C1C2CC1C=CC2,C1C2CC1CCC2,104.1299555,1,2.1
C1C2CC=CC1O2,C1C2CCCC1O2,113.505616,1,2.06
O=C1CC2CC2C1,OC1CC2CC2C1,46.94394,1,2.06
O=C1CC2CN2C1,OC1CC2CN2C1,53.523443,1,2.03
O=C1CC2NC2C1,OC1CC2NC2C1,62.7363225,1,2.03
O=C1CC2OC2C1,OC1CC2OC2C1,41.1547125,1,2.01
CC1=CC2CC2C1,CC1CC2CC2C1,90.8029175,1,2.1
CC1=CC2OC2C1,CC1CC2OC2C1,110.2788765,1,2.06
O=C1CC2CC1C2,OC1CC2CC1C2,52.40498,1,2.06
O=C1CC2CC1O2,OC1CC2CC1O2,73.2750795,1,2.01
CC1=CC2CC1C2,CC1CC2CC1C2,154.5238025,1,2.1
CC1=CC2CC1O2,CC1CC2CC1O2,167.538406,1,2.06
C#CC(C#C)C#C,CCC(CC)CC,148.1714052,6,12.08
CCC(C#C)C#C,CCC(CC)CC,143.1980519,4,8.05
CCC(C=O)C=O,CCC(CO)CO,68.10940825,2,3.87
COC(C=O)C=O,COC(CO)CO,77.756808,2,3.8
OCC(C=O)C=O,OCC(CO)CO,73.440486,2,3.8
CCC(CC)C#C,CCC(CC)CC,136.4170418,2,4.03
CCC(CC)C=O,CCC(CC)CO,59.3494275,1,1.97
CCC(CO)C=O,CCC(CO)CO,64.424519,1,1.94
COC(CO)C=O,COC(CO)CO,72.689593,1,1.9
OCC(CO)C=O,OCC(CO)CO,76.8090025,1,1.9
C#CCC#CC#C,CCCCCCC,140.7281128,6,12.08
C#CCCCC#C,CCCCCCC,141.5452996,4,8.05
C#CCOCC#C,CCCOCCC,150.593429,4,7.9
O=CCC#CC=O,OCCCCCO,105.6461817,4,7.75
O=CCCCC=O,OCCCCCO,66.966003,2,3.87
O=CCOCC=O,OCCOCCO,81.15814325,2,3.8
CC#CC#CC#C,CCCCCCC,133.7123392,6,12.08
CC#CCC#CC,CCCCCCC,136.2726393,4,8.05
CC#CCCC=O,CCCCCCO,111.7036478,3,5.92
CC#CC#CCO,CCCCCCO,135.5460321,4,7.9
CCC#CCC#C,CCCCCCC,141.1777296,4,8.05
CCC#CCC=O,CCCCCCO,112.4037812,3,5.92
OCC#CCC=O,OCCCCCO,116.0567268,3,5.81
CCCC#CC#C,CCCCCCC,135.8079257,4,8.05
CCCC#CC=O,CCCCCCO,115.332964,3,5.92
COCC#CC=O,COCCCCO,121.6035332,3,5.81
OCCC#CC=O,OCCCCCO,115.7775487,3,5.81
CCC#CCOC,CCCCCOC,141.5840257,2,3.95
CCCC#CCO,CCCCCCO,141.4842567,2,3.95
COCC#CCO,COCCCCO,149.658751,2,3.87
OCCC#CCO,OCCCCCO,141.1271887,2,3.87
CC#CCCCO,CCCCCCO,133.8348625,2,3.95
CCCCC#CC,CCCCCCC,132.8594892,2,4.03
CCCCCC#C,CCCCCCC,140.8856428,2,4.03
CCCOCC#C,CCCOCCC,149.9081735,2,3.95
CCCCCC=O,CCCCCCO,64.9417425,1,1.97
CCCOCC=O,CCCOCCO,79.652419,1,1.94
CCOCCC=O,CCOCCCO,66.2859985,1,1.94
COCCCC=O,COCCCCO,66.4592815,1,1.94
OCCCCC=O,OCCCCCO,65.5981175,1,1.94
OCCOCC=O,OCCOCCO,80.8837785,1,1.9
CC1CCC1C=O,CC1CCC1CO,65.852791,1,2.01
CC1COC1C=O,CC1COC1CO,83.889976,1,1.97
CC1OCC1C=O,CC1OCC1CO,70.3765275,1,1.97
CCC1CCC1=O,CCC1CCC1O,46.4529715,1,2.01
CCC1OCC1=O,CCC1OCC1O,54.4029855,1,1.97
COC1CCC1=O,COC1CCC1O,62.95949,1,1.97
OCC1CCC1=O,OCC1CCC1O,41.545912,1,1.97
OCC1OCC1=O,OCC1OCC1O,59.194523,1,1.94
C#CC1CC1C#C,CCC1CC1CC,141.650976,4,8.22
C#CC1OC1C#C,CCC1OC1CC,149.727014,4,8.06
O=CC1CC1C=O,OCC1CC1CO,58.26378325,2,3.95
O=CC1NC1C=O,OCC1NC1CO,71.86124775,2,3.91
O=CC1OC1C=O,OCC1OC1CO,78.55889825,2,3.87
CCC1CC1C#C,CCC1CC1CC,138.358599,2,4.11
CCC1OC1C#C,CCC1OC1CC,146.7510097,2,4.03
CCC1CC1C=O,CCC1CC1CO,52.8801955,1,2.01
CCC1NC1C=O,CCC1NC1CO,68.00045,1,1.99
