,unsat_SMILE,sat_SMILE,unsat_enthalpy,sat_enthalpy,nH2,pH2,delta_H
33,C1=CC=CC=C1,C1CCCCC1,-231.85476,-235.427539,3,7.19,62.54816167
34,CC(C)(C)C=O,CC(C)(C)CO,-271.340144,-272.532346,1,2.29,65.8974245
35,CC(C)(O)C=O,CC(C)(O)CO,-307.256236,-308.450995,1,2.24,72.610828
36,CC#CC(C)=O,CCCC(C)O,-268.90313,-272.530145,3,6.86,110.013701
37,CC#CC(C)C,CCCC(C)C,-234.177335,-236.612933,2,4.68,133.102348
38,CC#CC(C)O,CCCC(C)O,-270.090604,-272.530145,2,4.58,138.2785213
39,CC(=O)CC=O,CC(O)CCO,-306.062186,-308.443431,2,4.48,61.75044725
40,CC(C)CC=O,CC(C)CCO,-271.335178,-272.525865,1,2.29,61.919792
41,CC(O)CC=O,CC(O)CCO,-307.25013,-308.443431,1,2.24,68.782849
42,CC(=O)CCO,CC(O)CCO,-307.257114,-308.443431,1,2.24,50.446357
43,CCCC(C)=O,CCCC(C)O,-271.343855,-272.530145,1,2.29,50.3754685
44,COCC(C)=O,COCC(C)O,-307.235426,-308.430555,1,2.24,73.582263
45,CC(=O)C(C)=O,CC(O)C(C)O,-306.069386,-308.450554,2,4.48,61.6493655
46,CC(C)C(C)=O,CC(C)C(C)O,-271.345343,-272.532282,1,2.29,52.079418
47,CC(O)C(C)=O,CC(O)C(C)O,-307.264646,-308.450554,1,2.24,49.3725275
48,CC1CC(=O)C1,CC1CC(O)C1,-270.125879,-271.312373,1,2.34,50.9110705
49,CN1CC(=O)C1,CN1CC(O)C1,-286.149067,-287.33835,1,2.32,58.23359
50,OC1CC(=O)C1,OC1CC(O)C1,-306.040409,-307.227738,1,2.29,53.103363
51,O=CC(=O)C=O,OCC(O)CO,-340.748392,-344.357984,3,6.57,94.76567217
52,CC(C=O)C=O,CC(CO)CO,-306.050367,-308.439188,2,4.48,71.69584125
53,CCC(=O)C#C,CCC(O)CC,-268.894448,-272.530019,3,6.86,117.501627
54,CCC(=O)C=O,CCC(O)CO,-306.056925,-308.44512,2,4.48,70.87405975
55,OCC(=O)C=O,OCC(O)CO,-341.954065,-344.357984,2,4.38,91.51574075
56,CCC(=O)CC,CCC(O)CC,-271.34436,-272.530019,1,2.29,48.718778
57,CCC(=O)CO,CCC(O)CO,-307.250078,-308.44512,1,2.24,73.3538445
58,OCC(=O)CO,OCC(O)CO,-343.154879,-344.357984,1,2.19,94.523251
59,CCC(C)C#C,CCC(C)CC,-234.170402,-236.611917,2,4.68,140.8698898
60,CCC(O)C#C,CCC(O)CC,-270.083588,-272.530019,2,4.58,147.3233687
61,CC(CO)C=O,CC(CO)CO,-307.248095,-308.439188,1,2.24,62.985745
62,CCC(C)C=O,CCC(C)CO,-271.333529,-272.526273,1,2.29,67.3204455
63,CCC(O)C=O,CCC(O)CO,-307.253114,-308.44512,1,2.24,65.3828265
64,COC(C)C=O,COC(C)CO,-307.23263,-308.429191,1,2.24,77.341979
65,OCC(O)C=O,OCC(O)CO,-343.166262,-344.357984,1,2.19,64.6371845
66,CC1CCC1=O,CC1CCC1O,-270.126118,-271.310822,1,2.34,46.2114255
67,CC1OCC1=O,CC1OCC1O,-306.029842,-307.217749,1,2.29,54.620902
68,OC1CCC1=O,OC1CCC1O,-306.038926,-307.228569,1,2.29,59.17877
69,O=C1CC=CC1,OC1CCCC1,-268.944337,-271.337935,2,4.68,77.966848
70,O=C1CCC=C1,OC1CCCC1,-268.95002,-271.337935,2,4.68,70.50648975
71,O=C1CCCC1,OC1CCCC1,-270.153466,-271.337935,1,2.34,45.594433
72,O=C1CCOC1,OC1CCOC1,-306.053101,-307.241568,1,2.29,56.091182
73,CC1=CCCC1,CC1CCCC1,-234.217186,-235.42114,1,2.4,96.7523005
74,CC1=CCOC1,CC1CCOC1,-270.119118,-271.325817,1,2.34,103.959298
75,CC1CC=CC1,CC1CCCC1,-234.213728,-235.42114,1,2.4,105.8312795
76,OC1CC=CC1,OC1CCCC1,-270.130566,-271.337935,1,2.34,105.718383
77,CC1CCC=C1,CC1CCCC1,-234.213813,-235.42114,1,2.4,105.608112
78,OC1CCC=C1,OC1CCCC1,-270.129521,-271.337935,1,2.34,108.4620305
79,C#CC#CC#C,CCCCCC,-229.293491,-236.610537,6,14.04,137.5884523
80,C#CCCC#C,CCCCCC,-231.726191,-236.610537,4,9.36,141.7336792
81,O=CC#CC=O,OCCCCO,-303.599628,-308.437115,4,8.95,110.9766031
82,O=CCCC=O,OCCCCO,-306.050743,-308.437115,2,4.48,68.4809165
83,CC#CC#CC,CCCCCC,-231.743314,-236.610537,4,9.36,130.4945701
84,CC#CCC=O,CCCCCO,-268.894782,-272.523786,3,6.86,111.7544075
85,CCC#CC#C,CCCCCC,-231.734826,-236.610537,4,9.36,136.0658811
86,CCC#CC=O,CCCCCO,-268.890294,-272.523786,3,6.86,115.6821555
87,OCC#CC=O,OCCCCO,-304.796512,-308.437115,3,6.71,121.9054657
88,CCC#CCC,CCCCCC,-234.173949,-236.610537,2,4.68,134.4019705
89,CCC#CCO,CCCCCO,-270.081491,-272.523786,2,4.58,141.8938347
90,OCC#CCO,OCCCCO,-305.988628,-308.437115,2,4.48,150.0223828
91,CC#CCCO,CCCCCO,-270.088483,-272.523786,2,4.58,132.7150867
92,CCCC#CC,CCCCCC,-234.175073,-236.610537,2,4.68,132.9264395
93,CCCCC#C,CCCCCC,-234.168943,-236.610537,2,4.68,140.973597
94,CCCCC=O,CCCCCO,-271.331886,-272.523786,1,2.29,65.1045235
95,CCOCC=O,CCOCCO,-307.232411,-308.429805,1,2.24,79.5290205
96,COCCC=O,COCCCO,-307.229091,-308.421513,1,2.24,66.4750345
97,OCCCC=O,OCCCCO,-307.244633,-308.437115,1,2.24,66.6325645
98,C#CC1CCC1,CCC1CCC1,-232.949613,-235.391724,2,4.79,141.6522888
99,C#CC1CCO1,CCC1CCO1,-268.851944,-271.301259,2,4.68,151.1093398
100,C#CC1COC1,CCC1COC1,-268.852464,-271.296105,2,4.68,143.6607963
101,O=CC1CCC1,OCC1CCC1,-270.112475,-271.3046,1,2.34,65.695261
102,O=CC1CCO1,OCC1CCO1,-306.016968,-307.215237,1,2.29,81.826333
103,O=CC1COC1,OCC1COC1,-306.015085,-307.209397,1,2.29,71.4372295
104,C#CCC1CC1,CCCC1CC1,-232.945599,-235.388286,2,4.79,142.4084328
105,C#CCC1CO1,CCCC1CO1,-268.853133,-271.297715,2,4.68,144.896094
106,C#CCN1CC1,CCCN1CC1,-248.971801,-251.417219,2,4.74,145.993553
107,O=CCC1CC1,OCCC1CC1,-270.109125,-271.301552,1,2.34,66.488162
108,O=CCC1CO1,OCCC1CO1,-306.016816,-307.21058,1,2.29,69.9984555
109,O=CCN1CC1,OCCN1CC1,-286.135799,-287.333251,1,2.32,79.6812995
110,CC#CC1CC1,CCCC1CC1,-232.952313,-235.388286,2,4.79,133.5946292
111,CC#CC1CO1,CCCC1CO1,-268.856724,-271.297715,2,4.68,140.1820087
112,CC1CC1C=O,CC1CC1CO,-270.114108,-271.301385,1,2.34,52.966837
113,CC1NC1C=O,CC1NC1CO,-286.151985,-287.345087,1,2.32,68.2603745
114,CC1OC1C=O,CC1OC1CO,-306.019292,-307.216008,1,2.29,77.7489315
115,CN1CC1C=O,CN1CC1CO,-286.136668,-287.325641,1,2.32,57.419685
116,CC(=O)C1CC1,CC(O)C1CC1,-270.125278,-271.307644,1,2.34,40.0730065
117,CC(=O)C1CN1,CC(O)C1CN1,-286.161578,-287.345359,1,2.32,43.788089
118,CC(=O)C1CO1,CC(O)C1CO1,-306.027302,-307.218232,1,2.29,62.5577885
119,C1C2CC1C=C2,C1C2CC1CC2,-232.964851,-234.194415,1,2.46,163.9913555
120,C1CCC=CC1,C1CCCCC1,-234.217749,-235.427539,1,2.4,112.0747185
121,C1C2CC=CC12,C1C2CCCC12,-232.992315,-234.20202,1,2.46,111.851551
122,O=C1CC2CC12,OC1CC2CC12,-268.902294,-270.085691,1,2.4,42.779897
123,O=C1CC2NC12,OC1CC2NC12,-284.932432,-286.12514,1,2.37,67.2259275
124,O=C1CC2OC12,OC1CC2OC12,-304.801336,-305.995043,1,2.34,69.848802
125,O=C1CN2CC12,OC1CN2CC12,-284.93236,-286.117904,1,2.37,48.4168455
126,CC1=CC(O)=CO1,CC1CC(O)CO1,-344.096199,-346.486263,2,3.95,73.3275895
127,CC1=CC=C(C)O1,CC1CCC(C)O1,-308.190832,-310.575947,2,4.03,66.83078975
128,O=C1C=COC=C1,OC1CCOCC1,-342.905853,-346.488196,3,5.92,70.91825567
129,CC1=CC=CC=C1,CC1CCCCC1,-271.097511,-274.670117,3,6.16,62.39675783
130,OC1=CC=CC=C1,OC1CCCCC1,-307.015728,-310.58659,3,6.04,60.87046717
131,CC1=COC=C1C,CC1COCC1C,-308.183815,-310.564793,2,4.03,61.399943
132,C#CC1=CC=CO1,CCC1CCCO1,-305.737605,-310.568389,4,8.06,106.5769215
133,O=CC1=CC=CO1,OCC1CCCO1,-342.902488,-346.483522,3,5.92,69.7726625
134,CCC1=CC=CO1,CCC1CCCO1,-308.18257,-310.568389,2,4.03,67.75496575
135,COC1=CC=CO1,COC1CCCO1,-344.078763,-346.478898,2,3.95,86.54829475
136,OCC1=CC=CO1,OCC1CCCO1,-344.092108,-346.483522,2,3.95,75.099802
137,CC#CC(C)(C)C,CCCC(C)(C)C,-273.420417,-275.85553,2,4.03,132.4656643
138,CC(C)(C)CC=O,CC(C)(C)CCO,-310.577056,-311.768149,1,1.97,62.985745
139,CC(C)(O)CC=O,CC(C)(O)CCO,-346.497172,-347.68835,1,1.94,63.2089125
140,CC(=O)C(C)(C)C,CC(O)C(C)(C)C,-310.58722,-311.774203,1,1.97,52.19494
141,CC(=O)C(C)(C)O,CC(O)C(C)(C)O,-346.506207,-347.694171,1,1.94,54.7705555
142,CC(=O)CC(C)=O,CC(O)CC(C)O,-345.313647,-347.690363,2,3.87,55.8050025
143,CC(C)CC(C)=O,CC(C)CC(C)O,-310.58537,-311.771872,1,1.97,50.9320745
144,CC(O)CC(C)=O,CC(O)CC(C)O,-346.500284,-347.690363,1,1.94,60.323488
145,CC1(C)CC(=O)C1,CC1(C)CC(O)C1,-309.369943,-310.556066,1,2.01,49.93701
146,CC1(O)CC(=O)C1,CC1(O)CC(O)C1,-345.287039,-346.473738,1,1.97,51.449298
147,CC(C)(C=O)C=O,CC(C)(CO)CO,-345.295898,-347.682257,2,3.87,68.46385075
148,CC(O)(C=O)C=O,CC(O)(CO)CO,-381.215648,-383.60585,2,3.8,73.508749
149,CCC(C)(C)C#C,CCC(C)(C)CC,-273.412133,-275.85322,2,4.03,140.3080328
150,CCC(C)(O)C#C,CCC(C)(O)CC,-309.328676,-311.773991,2,3.95,145.8583398
151,CC(C)(CO)C=O,CC(C)(CO)CO,-346.490012,-347.682257,1,1.94,66.010321
152,CC(O)(CO)C=O,CC(O)(CO)CO,-382.409078,-383.60585,1,1.9,77.8959595
153,CCC(C)(C)C=O,CCC(C)(C)CO,-310.576713,-311.76857,1,1.97,64.991627
154,CCC(C)(O)C=O,CCC(C)(O)CO,-346.493529,-347.690752,1,1.94,79.08006
155,COC(C)(C)C=O,COC(C)(C)CO,-346.476532,-347.670797,1,1.94,71.313831
156,CC#CCC(C)C,CCCCC(C)C,-273.417145,-275.851353,2,4.03,131.2776255
157,CC#CCC(C)O,CCCCC(C)O,-309.333842,-311.768499,2,3.95,131.8670503
158,CC(=O)C#CC=O,CC(O)CCCO,-342.851373,-347.68219,4,7.75,106.5985819
159,CC(=O)CCC=O,CC(O)CCCO,-345.302578,-347.68219,2,3.87,59.6067265
160,CC(C)C#CC=O,CC(C)CCCO,-308.131086,-311.764629,3,5.92,115.726789
161,CC(O)C#CC=O,CC(O)CCCO,-344.042597,-347.68219,3,5.81,121.0215473
162,CC(C)CCC=O,CC(C)CCCO,-310.572666,-311.764629,1,1.97,65.26993
163,CC(C)OCC=O,CC(C)OCCO,-346.47573,-347.67335,1,1.94,80.1223835
164,CC(O)CCC=O,CC(O)CCCO,-346.489969,-347.68219,1,1.94,65.947309
165,CC(=O)C#CCO,CC(O)CCCO,-344.046279,-347.68219,3,5.81,117.7991837
166,CCC#CC(C)=O,CCCCC(C)O,-308.140777,-311.768499,3,5.92,110.6324438
167,CC(C)C#CCO,CC(C)CCCO,-309.322248,-311.764629,2,3.95,142.0067313
168,CC(O)C#CCO,CC(O)CCCO,-345.237434,-347.68219,2,3.87,145.1245125
169,CCC#CC(C)C,CCCCC(C)C,-273.414827,-275.851353,2,4.03,134.32058
170,CCC#CC(C)O,CCCCC(C)O,-309.328191,-311.768499,2,3.95,139.2854005
171,CC(=O)CCCO,CC(O)CCCO,-346.494724,-347.68219,1,1.94,53.4630565
172,CCCCC(C)=O,CCCCC(C)O,-310.582216,-311.768499,1,1.97,50.35709
173,CCOCC(C)=O,CCOCC(C)O,-346.478738,-347.673773,1,1.94,73.335466
174,COCCC(C)=O,COCCC(C)O,-346.481011,-347.667369,1,1.94,50.5540025
175,CC1(C)CCC1=O,CC1(C)CCC1O,-309.369812,-310.55623,1,2.01,50.7115325
176,CC1(C)OCC1=O,CC1(C)OCC1O,-345.277501,-346.46613,1,1.97,56.516513
177,CC1(O)CCC1=O,CC1(O)CCC1O,-345.285379,-346.475298,1,1.97,59.903408
178,CC1(C)CC1C=O,CC1(C)CC1CO,-309.358398,-310.545404,1,2.01,52.2553265
179,CC1(C)NC1C=O,CC1(C)NC1CO,-325.39758,-326.590447,1,1.99,67.643382
180,CC1(C)OC1C=O,CC1(C)OC1CO,-345.266391,-346.46298,1,1.97,77.415493
181,CC1(O)CC1C=O,CC1(O)CC1CO,-345.271647,-346.460307,1,1.97,56.5979035
182,CC1(C)CC=CC1,CC1(C)CCCC1,-273.457589,-274.664555,1,2.05,104.6603065
183,CC1(O)CC=CC1,CC1(O)CCCC1,-309.375245,-310.58418,1,2.01,109.829916
184,CC1(C)CCC=C1,CC1(C)CCCC1,-273.457211,-274.664555,1,2.05,105.6527455
185,CC1(O)CCC=C1,CC1(O)CCCC1,-309.374616,-310.58418,1,2.01,111.4813555
186,CC#CC(=O)C=O,CCCC(O)CO,-342.846864,-347.683451,4,7.75,110.3858656
187,CC#CC(C)C#C,CCCC(C)CC,-270.968236,-275.850235,4,8.05,140.1931671
188,CC#CC(O)C#C,CCCC(O)CC,-306.877311,-311.76829,4,7.9,146.0874146
189,CC#CC(C)C=O,CCCC(C)CO,-308.135416,-311.764723,3,5.92,112.019583
190,CC#CC(O)C=O,CCCC(O)CO,-344.048316,-347.683451,3,5.81,117.1200543
191,CCC(=O)CC=O,CCC(O)CCO,-345.301279,-347.68158,2,3.87,60.51121125
192,CC#CC(C)CO,CCCC(C)CO,-309.32942,-311.764723,2,3.95,132.7150867
193,CC#CC(O)CO,CCCC(O)CO,-345.244584,-347.683451,2,3.87,137.3937278
194,CC(CO)CC=O,CC(CO)CCO,-346.486624,-347.677761,1,1.94,63.101267
195,CCC(C)CC=O,CCC(C)CCO,-310.572726,-311.763174,1,1.97,61.2922975
196,CCC(O)CC=O,CCC(O)CCO,-346.48834,-347.68158,1,1.94,68.6226935
197,COC(C)CC=O,COC(C)CCO,-346.473793,-347.666015,1,1.94,65.9499345
198,CCCC(=O)C#C,CCCC(O)CC,-308.132403,-311.76829,3,5.92,117.7781797
199,CCCC(=O)C=O,CCCC(O)CO,-345.294945,-347.683451,2,3.87,71.282325
200,COCC(=O)C=O,COCC(O)CO,-381.186061,-383.584456,2,3.8,84.26410975
201,OCCC(=O)C=O,OCCC(O)CO,-381.200212,-383.596498,2,3.8,81.49552
202,CCC(=O)CCO,CCC(O)CCO,-346.49562,-347.68158,1,1.94,49.5090535
203,CCC(=O)COC,CCC(O)COC,-346.473807,-347.666408,1,1.94,66.944999
204,CCCC(=O)CC,CCCC(O)CC,-310.582333,-311.76829,1,1.97,49.501177
205,CCCC(=O)CO,CCCC(O)CO,-346.488082,-347.683451,1,1.94,74.212383
206,COCC(=O)CO,COCC(O)CO,-382.378685,-383.584456,1,1.9,101.522834
207,OCCC(=O)CO,OCCC(O)CO,-382.401347,-383.596498,1,1.9,73.640024
208,CCCC(C)C#C,CCCC(C)CC,-273.408681,-275.850235,2,4.03,140.921087
209,CCCC(O)C#C,CCCC(O)CC,-309.321778,-311.76829,2,3.95,147.4297015
210,CCOC(C)C#C,CCOC(C)CC,-309.308535,-311.75799,2,3.95,151.2931248
211,CCCC(C)C=O,CCCC(C)CO,-310.571916,-311.764723,1,1.97,67.485852
212,CCCC(O)C=O,CCCC(O)CO,-346.491525,-347.683451,1,1.94,65.1727865
213,CCOC(C)C=O,CCOC(C)CO,-346.475872,-347.672373,1,1.94,77.184449
214,COCC(C)C=O,COCC(C)CO,-346.472044,-347.663338,1,1.94,63.5134705
215,COCC(O)C=O,COCC(O)CO,-382.388834,-383.584456,1,1.9,74.8766345
216,OCCC(O)C=O,OCCC(O)CO,-382.404408,-383.596498,1,1.9,65.6033685
217,CC(=O)C(=O)C=O,CC(O)C(O)CO,-380.011281,-383.603656,3,5.7,79.69792767
218,CC(C)C(=O)C=O,CC(C)C(O)CO,-345.296849,-347.68523,2,3.87,71.11823125
219,CC(O)C(=O)C=O,CC(O)C(O)CO,-381.212179,-383.603656,2,3.8,75.18250525
220,CC(C)C(C)C=O,CC(C)C(C)CO,-310.574972,-311.765054,1,1.97,60.3313645
221,CC(C)C(O)C=O,CC(C)C(O)CO,-346.492715,-347.68523,1,1.94,66.719206
222,CC(O)C(C)C=O,CC(O)C(C)CO,-346.49151,-347.682694,1,1.94,63.2246655
223,CC(O)C(O)C=O,CC(O)C(O)CO,-382.410407,-383.603656,1,1.9,68.646323
224,CC(=O)C(O)C=O,CC(O)C(O)CO,-381.215229,-383.603656,2,3.8,71.17861775
225,CC(=O)C(=O)CO,CC(O)C(O)CO,-381.220297,-383.603656,2,3.8,64.52560075
226,CCC(=O)C(C)=O,CCC(O)C(C)O,-345.307831,-347.68994,2,3.87,62.88466325
227,CC(C)C(=O)CO,CC(C)C(O)CO,-346.499339,-347.68523,1,1.94,49.327894
228,CC(O)C(=O)CO,CC(O)C(O)CO,-382.415667,-383.603656,1,1.9,54.836193
229,CCC(=O)C(C)C,CCC(O)C(C)C,-310.584159,-311.769767,1,1.97,48.5848775
230,CCC(=O)C(C)O,CCC(O)C(C)O,-346.502995,-347.68994,1,1.94,52.095171
231,CC(=O)C(O)CO,CC(O)C(O)CO,-382.417438,-383.603656,1,1.9,50.1864325
232,CCC(C)C(C)=O,CCC(C)C(C)O,-310.5827,-311.76911,1,1.97,50.6905285
233,CCC(O)C(C)=O,CCC(O)C(C)O,-346.503376,-347.68994,1,1.94,51.0948555
234,COC(C)C(C)=O,COC(C)C(C)O,-346.482266,-347.671377,1,1.94,57.782004
235,CC#CC1(C)CO1,CCCC1(C)CO1,-308.103464,-310.543831,2,4.03,139.3628528
236,CC#CC1(O)CC1,CCCC1(O)CC1,-308.106918,-310.546454,2,4.03,138.2719575
237,CC1(CC=O)CC1,CC1(CCO)CC1,-309.353048,-310.544482,1,2.01,63.8810405
238,CC1(CC=O)CO1,CC1(CCO)CO1,-345.264112,-346.456198,1,1.97,65.5928665
239,CC1CC1(C)C=O,CC1CC1(C)CO,-309.35854,-310.546317,1,2.01,54.279587
240,CC1CC1(O)C=O,CC1CC1(O)CO,-345.272006,-346.462556,1,1.97,61.5600985
241,CC1NC1(C)C=O,CC1NC1(C)CO,-325.400185,-326.587996,1,1.99,54.368854
242,CC1OC1(C)C=O,CC1OC1(C)CO,-345.270291,-346.464081,1,1.97,70.0667185
243,CN1CC1(C)C=O,CN1CC1(C)CO,-325.384862,-326.577125,1,1.99,66.05758
244,CC(=O)C1(C)CC1,CC(O)C1(C)CC1,-309.366619,-310.551159,1,2.01,45.7808435
245,CC(=O)C1(C)CN1,CC(O)C1(C)CN1,-325.406111,-326.590786,1,1.99,46.135286
246,CC(=O)C1(C)CO1,CC(O)C1(C)CO1,-345.274512,-346.464695,1,1.97,60.59654
247,CC(=O)C1(O)CC1,CC(O)C1(O)CC1,-345.280176,-346.467175,1,1.97,52.236948
248,O=C1CCC(=O)C1,OC1CCC(O)C1,-344.120577,-346.49399,2,3.95,51.46898925
249,CC1=CCC(=O)C1,CC1CCC(O)C1,-308.18987,-310.577995,2,4.03,70.78216725
250,CC1=CCC(O)C1,CC1CCC(O)C1,-309.374817,-310.577995,1,2.01,94.7149125
251,CC1CC=C(C)C1,CC1CCC(C)C1,-273.458785,-274.662964,1,2.05,97.343038
252,CC1CC(=O)CO1,CC1CC(O)CO1,-345.297849,-346.486263,1,1.97,55.9520305
253,CC1CCC(=O)C1,CC1CCC(O)C1,-309.395834,-310.577995,1,2.01,39.534779
254,OC1CCC(=O)C1,OC1CCC(O)C1,-345.310094,-346.49399,1,1.97,44.0900215
255,CC1CCC(C)=C1,CC1CCC(C)C1,-273.458873,-274.662964,1,2.05,97.111994
256,CC12CC(=O)C1N2,CC12CC(O)C1N2,-324.183573,-325.370857,1,2.03,52.9852155
257,CC12CC(=O)C1O2,CC12CC(O)C1O2,-344.049758,-345.243434,1,2.01,69.7674115
258,CC12CC1C(=O)C2,CC12CC1C(O)C2,-308.14697,-309.33022,1,2.06,42.3939485
259,CC12CC(C1)C=C2,CC12CC(C1)CC2,-272.209963,-273.440182,1,2.1,165.711058
260,OC12CC(C1)C=C2,OC12CC(C1)CC2,-308.126199,-309.356891,1,2.06,166.9529195
261,O=CC1CC(=O)C1,OCC1CC(O)C1,-344.084321,-346.464088,2,3.95,59.81020275
262,CCC1CC(=O)C1,CCC1CC(O)C1,-309.364886,-310.551135,1,2.01,50.267823
263,COC1CC(=O)C1,COC1CC(O)C1,-345.264764,-346.450603,1,1.97,49.191368
264,OCC1CC(=O)C1,OCC1CC(O)C1,-345.277903,-346.464088,1,1.97,50.099791
265,CC(=O)CC1CC1,CC(O)CC1CC1,-309.358232,-310.5458,1,2.01,53.7308575
266,CC(=O)CC1CO1,CC(O)CC1CO1,-345.266889,-346.456828,1,1.97,59.955918
267,CC(=O)CN1CC1,CC(O)CN1CC1,-325.38603,-326.573671,1,1.99,53.922519
268,C#CC12CC(C1)C2,CCC12CC(C1)C2,-270.951696,-273.395384,2,4.2,143.7224955
269,C#CC12CC(C1)O2,CCC12CC(C1)O2,-306.845385,-309.295872,2,4.11,152.6478827
270,C#CC12CN(C1)C2,CCC12CN(C1)C2,-286.970606,-289.414914,2,4.15,144.5364005
271,O=CC12CC(C1)C2,OCC12CC(C1)C2,-308.112953,-309.306918,1,2.06,70.526181
272,O=CC12CC(C1)O2,OCC12CC(C1)O2,-344.00831,-345.208227,1,2.01,86.153157
273,O=CC12CN(C1)C2,OCC12CN(C1)C2,-324.13019,-325.326168,1,2.03,75.8113125
274,O=C1CC2(CC2)C1,OC1CC2(CC2)C1,-308.139185,-309.326161,1,2.06,52.1765615
275,O=C1CC2(CN2)C1,OC1CC2(CN2)C1,-324.177067,-325.365313,1,2.03,55.5109465
276,O=C1CC2(CO2)C1,OC1CC2(CO2)C1,-344.049187,-345.238175,1,2.01,57.4590675
277,O=C1CCC=CC1,OC1CCCCC1,-308.187303,-310.58659,2,4.03,85.43508275
278,O=C1CCCC=C1,OC1CCCCC1,-308.191792,-310.58659,2,4.03,79.542148
279,O=C1CCCCC1,OC1CCCCC1,-309.397242,-310.58659,1,2.01,58.4042475
280,O=C1CCCOC1,OC1CCCOC1,-345.294218,-346.487246,1,1.97,68.0660875
281,O=C1CCOCC1,OC1CCOCC1,-345.298265,-346.488196,1,1.97,59.934914
282,O=C1COCOC1,OC1COCOC1,-381.198597,-382.394473,1,1.94,75.5435115
283,CC1=CCCCC1,CC1CCCCC1,-273.462214,-274.670117,1,2.05,107.1204
284,CC1=CCCOC1,CC1CCCOC1,-309.363035,-310.572169,1,2.01,110.3523905
285,CC1=CCOCC1,CC1CCOCC1,-309.363152,-310.572497,1,2.01,110.906371
286,CC1CC=CCO1,CC1CCCCO1,-309.364497,-310.575879,1,2.01,116.2545145
287,CC1CCC=CC1,CC1CCCCC1,-273.460357,-274.670117,1,2.05,111.9959535
288,OC1CCC=CC1,OC1CCCCC1,-309.376391,-310.58659,1,2.01,113.148548
289,CC1CCCC=C1,CC1CCCCC1,-273.459521,-274.670117,1,2.05,114.1908715
290,OC1CCCC=C1,OC1CCCCC1,-309.37487,-310.58659,1,2.01,117.1419335
291,O=C1CC=CC1=O,OC1CCCC1O,-342.904455,-346.495827,3,5.92,78.8201355
292,O=C1CCCC1=O,OC1CCCC1O,-344.108642,-346.495827,2,3.95,69.54818225
293,O=C1COCC1=O,OC1COCC1O,-380.002046,-382.397603,2,3.87,80.53852525
294,CC1=CCCC1=O,CC1CCCC1O,-308.196411,-310.579579,2,4.03,64.2748655
295,CC1C=CCC1=O,CC1CCCC1O,-308.18549,-310.579579,2,4.03,78.61140825
296,OC1C=CCC1=O,OC1CCCC1O,-344.097572,-346.495827,2,3.95,84.08032475
